liters	gallons	CAD	USD	USD per gallon	date	street	city	time
	12.644		41.21	$3.26	5/30/23	1617 Julian Allsbrook H	Weldon, NC	16:20
	8.266		26.44	$3.20	5/30/23	1 Hwy 9 East	Longs, SC	10:57
	10.021		32.06	$3.20	5/28/23	204 Wall St	Camden, SC	15:20
	10.797		34.54	$3.20	5/28/23	13722 Jones St	Lavonia, GA	11:59
	13.758		47.59	$3.46	5/26/23	9089 GA Hwy 18	Pine Mountain, GA	16:02
	8.343		31.7	$3.80	6/3/23	985 Route 11	Champlain, NY	17:34
	13.729		44.74	$3.26	5/16/23	1957 Highway 54	Alamogordo, NM	9:40
	13.89		43.46	$3.13	5/16/23	1111 Seminole Rd	Lamesa, TX	17:15
	13.929		42.75	$3.07	5/26/23	1707 W 23rd St	Panama City, FL	9:50
	18.648		54.06	$2.90	5/18/23	4400 Bryant Irvin Rd	Fort Worth, TX	15:05
	13.069		46.51	$3.56	5/14/23	721 S Hwy 85	Socorro, NM	16:24
	11.722		46.41	$3.96	5/14/23	410 W Hopi Dr	Holbrook, AZ	10:37
	15.629		45.78	$2.93	5/19/23	1940 Hwy 84	Mansfield, LA	10:11
			53.38		5/22/23		New Orleans, LA	10:00
	7.605		24.33	$3.20	5/22/23	6955 Theodore Dawes	Theodore, AL	14:06
	18.326		63.21	$3.45	6/1/23	5481 Dupont Pkwy	Smyrna, DE	15:19
	8.517		27.76	$3.26	6/3/23	78 Garden State Pkwy	Colonia, NJ	10:54
	11.648		43.55	$3.74	6/3/23	532 Aviation Rd	Queensbury, NY	15:02
65.67	17.34817524	103.69	78.7	$4.54	6/19/23	231 St-Jovite	Mont-Tremblant, QC	20:43
67.767	17.90214392	109.71	83.08	$4.64	2023-07-01	1110 rue principale	Ste-Agathe-des-monts, qc	13:14
56.851	15.01844237	100	75.4	$5.02	2023-07-08	495 rue Laurie	Saint-Apolline, QC	8:12
63.76	16.84360672	114.39	86.25	$5.12	7/8/23	24 notre-dame est	Cap-chat, qc	14:57
53.781	14.20743433	96.48	73.64	$5.18	2023-07-13	91 Jacques Cartier	Gaspe, qc	9:39
34.678	9.160956616	62.21	47.52	$5.19	2023-07-15	91 Jacques Cartier	Gaspe, qc	8:45
59.474	15.71136553	106.99	81.73	$5.20	2023-07-15	90 rt 230 est	Saint-Philippe-de-N̩ri, qc	15:55
60.817	16.06614852	105.15	79.94	$4.98	7/19/23	shell canada	melbourne, qc	16:03
35.455	9.36621826	61.3	46.63	$4.98	2023-07-24	28 rue principale	sutton, qc	10:54
19.987	5.280005764	34.36	26.13	$4.95	2023-07-24	855 chrmin st-fereol	Les Cedres, qc	13:14
23.941	6.324541852	38.43	29.24	$4.62	2023-07-24	678 hwy 401 west	mallorytown N., ON	17:42
34.606	9.141936232	57.76	43.24	$4.73	2023-08-08	5495 eglington west	etobicoke, on	11:54
59.007	15.5879972	97.24	73.32	$4.70	2023-08-03	3 elizabeth street	brighton, on	13:41
	14.609		56.96	$3.90	2023-08-13		WILLIAMSBURG, IA	14:49
	16.849		60.64	$3.60	2023-08-10	1790 N. Dixie Hwy	monroe, mi	9:45
	17.644		75.85	$4.30	2023-08-11	55 Skokie Valley Rd	Highland Park, IL	18:12
	12.1		44.15	$3.65	2023-08-14	12 East St	Shelby, IA	12:25
	11.092		47.68	$4.30	2023-08-17		Eads, CO	14:43
	8.936		35.74	$4.00	2023-08-19	316 Miranda St	Fort Garland, CO	15:49
	16.834		60.59	$3.60	2023-08-17	200 Washington St	Ellis, KS	11:10
	10.731		39.26	$3.66	2023-08-15	4700 S Lincoln	York, NE	14:35
	7.225		29.98	$4.15	2023-08-19	Bent Ave	Las Animas, CO	9:46
	8.058		31.42		2023-08-21	1225 N Paseo De Onat	Espanola, NM	9:16
	9.847		37.41		2023-08-21	1600 E Sate Fe Ave	Grants, NM	12:06